tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
2,0.25,8,500,100,20,0.25,0.0006104230880737305,1041.5164489746094,18.505427072908372,17.217756178806336,4102860
2,0.25,10,250,100,20,0.0,0.0005558967590332031,1122.2525029182434,11.188393473914436,11.556682576690225,5080309
2,0.1,12,100,20,1,0.0,0.0007853031158447266,299.97468614578247,9.17274709313702,15.689356705427603,6071380
2,0.25,8,100,100,20,0.0,0.00047605037689208985,945.6741321086884,12.830449614581628,13.05526918740884,4048424
2,0.1,12,500,20,1,0.0,0.0006748437881469727,296.6766309738159,8.743084940753517,15.426090801240017,6152904
2,0.1,8,250,100,20,0.1,0.00045800209045410156,973.8003036975861,15.104590802594771,14.772355208919254,4064455
2,0.25,10,250,20,20,0.0,0.0007713079452514648,710.7298429012299,12.149548861182197,12.540366734666252,5080390
2,0.01,8,500,100,1,0.1,0.0005000829696655273,312.8071789741516,21.164812516423822,20.994851535662278,4102864
2,0.1,8,250,20,1,0.25,0.00046074390411376953,286.2553701400757,11.263194943988891,16.260323840711052,4063815
2,0.01,12,250,100,1,0.25,0.0006537914276123046,318.3151202201843,18.996489791805555,19.790964750563983,6096188
2,0.25,10,100,100,1,0.0,0.0005611658096313476,318.91997385025024,5.166985997524265,16.155291237032408,5056379
2,0.25,12,500,100,1,0.1,0.0006750822067260742,322.8818869590759,3.953699709100089,15.82223637906614,6148725
2,0.25,6,250,100,1,0.25,0.0003681659698486328,301.06902599334717,7.396021317136498,16.344948195509332,3046611
2,0.1,6,250,20,20,0.1,0.0003646135330200195,554.2359261512756,17.511209348870572,17.291703209723163,3048457
2,0.1,10,100,20,1,0.0,0.0005595684051513672,280.1288459300995,10.252579412497402,16.001424522471982,5059599
2,0.1,10,500,100,20,0.25,0.0007358551025390625,1221.8489549160004,19.18348313292539,18.576644531787675,5128732
2,0.1,10,500,100,20,0.0,0.0005943059921264648,1166.6306760311127,13.02058121461625,13.272486644600287,5128513
2,0.25,6,100,100,20,0.25,0.0003621339797973633,782.5658431053162,22.252725697705014,20.42992181057939,3036375
2,0.25,10,500,20,1,0.25,0.0008401870727539062,296.77986311912537,5.792393424929931,15.75981697281556,5125061
2,0.25,12,500,20,1,0.25,0.0006904363632202149,298.12083888053894,5.000643030807484,15.60535478407016,6149301
2,0.1,6,500,20,20,0.0,0.00039505958557128906,576.4945030212402,15.931414575486649,15.844925281154543,3077069
2,0.25,12,100,100,20,0.25,0.000629878044128418,1318.1156549453735,17.20423843594238,17.275473867424044,6072508
2,0.01,8,250,20,20,0.1,0.00045578479766845704,622.0182189941406,24.267876747563065,22.45930529197652,4064534
2,0.25,12,250,100,1,0.0,0.0008554220199584961,315.4969549179077,4.082643403728798,15.157711419431166,6091363
2,0.1,8,500,100,1,0.25,0.0004901885986328125,311.80413007736206,9.238176406358374,15.704083813963333,4101890
2,0.1,10,250,100,20,0.25,0.000554966926574707,1221.3797130584717,19.48558077899667,18.27566795567252,5080610
2,0.1,10,100,100,20,0.1,0.0007368087768554688,1164.7866559028625,14.9706455719534,14.694562828283276,5060610
2,0.01,10,500,100,1,0.25,0.0005666971206665039,318.3132300376892,19.953958937609556,20.44378331187025,5128564
2,0.01,8,100,20,1,0.25,0.00045223236083984374,287.688374042511,22.812811394275652,22.152365804832037,4048356
2,0.1,10,100,100,1,0.25,0.0005553722381591797,312.94431471824646,8.76819782684386,15.71299743626268,5059396
2,0.1,6,250,100,1,0.0,0.0004765748977661133,303.86577892303467,11.281594744704975,16.42104124622468,3047930
2,0.01,10,250,100,20,0.0,0.0006056785583496094,1440.1478128433228,21.21992305882622,20.074481315377504,5080478
2,0.1,8,100,100,1,0.1,0.00043537616729736326,318.6355690956116,10.102920835824992,16.124205300097053,4047668
2,0.1,6,250,100,1,0.1,0.0003395557403564453,300.3312499523163,11.28224860123376,16.46499080666113,3047975
2,0.01,8,100,20,1,0.0,0.0005028486251831054,281.1277508735657,22.812811394275652,22.152365804832037,4048356
